Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      63 |                   36
         6 |                 39.000000 |                      92 |                   53
         7 |                 52.000000 |                     127 |                   75
         8 |                 68.000000 |                     164 |                   96
         9 |                 85.000000 |                     213 |                  128
        10 |                105.000000 |                     221 |                  116
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      48 |                   30
         5 |                 27.000000 |                      65 |                   38
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     111 |                   59
         8 |                 68.000000 |                     156 |                   88
         9 |                 85.000000 |                     208 |                  123
        10 |                105.000000 |                     241 |                  136
        11 |                126.000000 |                     281 |                  155
        12 |                150.000000 |                     297 |                  147
        13 |                175.000000 |                     421 |                  246
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      43 |                   25
         5 |                 27.000000 |                      70 |                   43
         6 |                 39.000000 |                     105 |                   66
         7 |                 52.000000 |                     177 |                  125
         8 |                 68.000000 |                     212 |                  144
         9 |                 85.000000 |                     260 |                  175
        10 |                105.000000 |                     298 |                  193
        11 |                126.000000 |                     373 |                  247
        12 |                150.000000 |                     412 |                  262
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      73 |                   34
         7 |                 52.000000 |                      84 |                   32
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
